City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
427,Sao Gabriel Da Cachoeira,BR,71.91,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
428,Seguin,US,73.4,broken clouds,29.5688,-97.9647,La Quinta Inn & Suites by Wyndham Seguin
434,Doka,SD,83.97,broken clouds,13.5167,35.7667,
441,Mecca,SA,77.56,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
443,Bowen,AU,77.0,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
447,Muswellbrook,AU,69.28,broken clouds,-32.2667,150.9,Wayfarer Motel
448,Kavaratti,IN,84.25,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
449,Sokolo,ML,78.91,few clouds,14.7328,-6.1219,
451,Morondava,MG,73.85,clear sky,-20.2833,44.2833,La Case Bambou
452,Qui Nhon,VN,84.88,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
453,Moyo,UG,68.92,overcast clouds,3.6609,31.7247,Amelia Guest House
455,Save,BJ,78.21,overcast clouds,8.0425,2.4859999999999998,Restaurant Plazza Hotel
457,Buchanan,LR,75.2,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
458,Seoul,KR,71.6,clear sky,37.5683,126.9778,Lotte Hotel Seoul
459,Angoche,MZ,78.04,light rain,-16.2325,39.9086,Guest House HESADA
461,Perth,AU,77.0,light rain,-31.9333,115.8333,Beatty Lodge
465,Bijie,CN,74.93,clear sky,27.3125,105.2942,Four Points by Sheraton Bijie
466,Penalva,BR,72.9,very heavy rain,-3.2942,-45.1736,Hotel Lago Verde
470,Saint-Joseph,RE,84.2,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
477,Manati,PR,73.99,scattered clouds,18.4275,-66.4921,Manati World Point Inn
479,Kapoeta,SS,78.94,light rain,4.7717,33.5903,Eastgate Hotel
480,Aba,NG,78.93,scattered clouds,5.1066,7.3667,Rosies Hotel Limited
482,Natchez,US,69.8,overcast clouds,31.5604,-91.4032,Hampton Inn & Suites Natchez
483,Mingshui,CN,77.0,broken clouds,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
484,Marawi,PH,82.99,overcast clouds,7.9986,124.2928,Derogongan Residence
485,Nicoya,CR,82.4,clear sky,10.1483,-85.45200000000001,Guayacan Real
486,Alta Floresta,BR,70.79,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
487,Maceio,BR,75.2,clear sky,-9.6658,-35.7353,Poutur Pousada
489,Dhidhdhoo,MV,83.12,broken clouds,6.8833,73.1,Dhidhoo beach
490,Pisco,PE,68.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
491,Kabo,CF,70.97,overcast clouds,7.6994,18.629,
503,Cape Coast,GH,79.02,broken clouds,5.1053,-1.2466,Samrit Hotel
507,Thinadhoo,MV,83.95,broken clouds,0.5333,72.9333,
514,Anito,PH,84.6,scattered clouds,12.4497,125.2886,The Yellow House
517,Bembereke,BJ,73.2,broken clouds,10.2283,2.6634,Hotel Bio Guera
519,Kita,ML,77.99,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
521,Taguatinga,BR,73.38,broken clouds,-12.3857,-46.5711,
525,Conceicao Do Araguaia,BR,74.61,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
526,Lorengau,PG,83.8,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
528,Riyadh,SA,69.8,clear sky,24.6877,46.7219,InterContinental Riyadh
531,Lakatoro,VU,83.89,moderate rain,-16.0999,167.4164,Lakatoro Palm Lodge
534,Tarime,TZ,66.2,broken clouds,-1.35,34.3667,Kifa Best Point Hotel
535,Ormond Beach,US,73.99,scattered clouds,29.2858,-81.0559,Makai Beach Lodge
537,Naze,JP,69.8,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
538,Pitimbu,BR,77.0,clear sky,-7.4706,-34.8086,Reserva do Abiaí
540,Port Macquarie,AU,73.99,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
542,George Town,MY,82.4,light rain,5.4112,100.3354,Cititel Penang
548,Sembe,CG,71.02,broken clouds,1.6481,14.5806,
549,Gwadar,PK,82.65,clear sky,25.1216,62.3254,Sadaf Resort
550,Ambovombe,MG,71.83,scattered clouds,-25.1667,46.0833,RELAHARA
552,Ciudad Bolivar,VE,76.42,overcast clouds,8.1222,-63.5497,Hotel Edi
554,Seybaplaya,MX,79.47,clear sky,19.65,-90.6667,sala de fiesta san Rafael
555,Wewak,PG,82.89,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
557,Marabba,SD,77.4,broken clouds,12.35,32.1833,
560,Owo,NG,73.26,overcast clouds,7.1962,5.5868,The Chancery Hotel and Resort limited
563,Nishihara,JP,80.6,broken clouds,26.1842,127.7558,Minshuku Agaihama
568,Puerto Penasco,MX,66.0,scattered clouds,31.3167,-113.5333,Playa Bonita Resort
575,Pinotepa Nacional,MX,74.8,clear sky,16.3167,-98.0167,Hotel Maria Del Carmen
576,Rio Grande,BR,65.91,very heavy rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
581,Bosaso,SO,77.0,clear sky,11.2842,49.1816,Red Sea Hotel
582,Isiro,CD,66.0,broken clouds,2.7739,27.616,Guest House Hewa Bora
583,Fonte Boa,BR,71.62,moderate rain,-2.4959,-66.2662,
586,Soe,ID,68.13,moderate rain,-9.8607,124.28399999999999,Dena Hotel
588,Elesbao Veloso,BR,71.53,overcast clouds,-6.2019,-42.1403,Pousada Paraiso
589,Neuquen,AR,68.0,clear sky,-38.9516,-68.0591,Hotel del Comahue
605,Wajir,KE,78.8,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
606,Yulara,AU,84.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
611,Nsanje,MW,71.46,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
615,Barcelos,PT,66.2,clear sky,41.5388,-8.6151,Hotel Do Terço
618,Umm Lajj,SA,70.16,clear sky,25.0213,37.2685,Moon light Furnished Units
619,Manacapuru,BR,75.2,very heavy rain,-3.2997,-60.6206,Novo Hotel
620,Quelimane,MZ,71.6,scattered clouds,-17.8786,36.8883,Hotel Flamingo
621,Teahupoo,PF,82.4,light rain,-17.8333,-149.2667,Vanira Lodge
624,Road Town,VG,78.01,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
625,Aransas Pass,US,73.4,overcast clouds,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
627,Kushima,JP,73.4,broken clouds,31.4583,131.2333,Hanaoka
629,Tevaitoa,PF,81.84,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
632,Estelle,US,73.4,scattered clouds,29.8458,-90.1067,Ohio
639,Jacareacanga,BR,72.73,light rain,-6.2222,-57.7528,Casa do Ian😎
640,Kulhudhuffushi,MV,83.05,broken clouds,6.6221,73.07,Haajy Guest House 1
643,Caetite,BR,74.46,overcast clouds,-14.0694,-42.475,Hotel Porto do Sol
644,Novo Aripuana,BR,72.88,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
646,Wenchi,GH,73.27,scattered clouds,7.7392,-2.1046,Ebenezer Hotel
648,Port Blair,IN,84.6,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
650,Broken Hill,AU,77.0,clear sky,-31.95,141.4333,Royal Exchange Hotel
655,Tadine,NC,79.27,overcast clouds,-21.55,167.8833,
656,Sao Jose Da Coroa Grande,BR,77.7,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
657,Hirado,JP,68.0,clear sky,33.3597,129.5531,Samson Hotel
658,Bambanglipuro,ID,84.36,overcast clouds,-7.95,110.2833,Puri Brata
659,Gejiu,CN,75.07,few clouds,23.305999999999997,103.1635,Hongtai Commercial Hotel
661,Hualmay,PE,68.95,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
664,Umm Kaddadah,SD,65.79,scattered clouds,13.6017,26.6876,
671,Tokonou,GN,74.17,broken clouds,9.65,-9.7833,
674,Isangel,VU,82.4,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
679,Aguai,BR,65.17,scattered clouds,-22.0594,-46.9786,CHÁCARA GUERRA
